Posted,Flowers Requested,Requested By,Due Date,Reward (Wisps),Reward (Trust),Completed
1,Dandelion (x5),Megan,4,24,20 Trust Ava; 30 Trust Megan,0
3,Daisy (x5),Bruce,6,48,30 Trust Bruce,0
6,Poppy (x5),Linda,9,72,30 Trust Linda; 10 Trust Poppy,0
8,Rose (x5) + Tulip (x5),Charlie,12,150,40 Trust Charlie,0
9,Lavender (x5),Gerald,15,180,30 Trust Gerald,0
10,PricklyPear (x5),Jeremy,18,180,20 Trust Jeremy,0
12,Sunflower (x5),Sebastian,20,192,40 Trust Sebastian,0
14,LilyValley (x5) + PricklyPear (x10),Poppy,22,350,20 Trust Poppy,0
15,Rose (x5) + Daisy (x5),Charlie,22,180,20 Trust Charlie; 10 Trust Ava; 10 Trust Bruce,0
18,Poppy (x5) + Tulip (x5),Linda,23,160,20 Trust Linda; 20 Trust Megan,0
20,Sunflower (x5) + Lavender (x5),Gerald,24,250,30 Trust Gerald; 30 Trust Sebastian,0
22,LilyValley (x5) + Rose (x5),Poppy,25,300,20 Trust Poppy,0
24,Daisy (x15),Ava,26,72,50 Trust Ava; 20 Trust Megan,0
